PWSID,Supply Name,Population,2021,2022,2023,2024,2025,Total Replaced,Lead Lines,GPCL,Unknown,Total To Replace,Percent Replaced,Non-Lead,Total Lines,Exceedance,Latitude,Longitude,EPA_Link,Status Explanation,Status
MI0003565,KAWKAWLIN TOWNSHIP,"3,170",,,,,,,,,,,,"1,295","1,295",,,,," Inventory completed, no lead lines identified ",No lead lines
MI0003595,"KEEGO HARBOR, CITY OF","2,733",,,,,,,,,,,,"1,049","1,049",,42.60827447,-83.3447473,https://echo.epa.gov/detailed-facility-report?fid=MI0003595&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003598,KELLOGG BIOLOGICAL STATION,100,,,,,,,,,,,,10,10,2019,42.40899505,-85.40863805,https://echo.epa.gov/detailed-facility-report?fid=MI0003598&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040264,KENT CITY MOBILE HOME PARK,185,,,,,,,,,,,,75,75,,43.23018126,-85.77362298,https://echo.epa.gov/detailed-facility-report?fid=MI0040264&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003615,KENT RIDGE APARTMENTS,120,,,,,,,,,,,,2,2,2024,43.21669177,-85.74861593,https://echo.epa.gov/detailed-facility-report?fid=MI0003615&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003620,KENTWOOD,"36,072",,,,,,,,,,,,"8,488","8,488",,42.88484157,-85.59098066,https://echo.epa.gov/detailed-facility-report?fid=MI0003620&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040166,KEY COURT MOBILE HOME PARK,55,,,,,,,,,,,,32,32,,43.98408325,-84.35637156,https://echo.epa.gov/detailed-facility-report?fid=MI0040166&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040276,KEY HEIGHTS MOBILE VILLAGE,715,,,,,,,,,,,,286,286,,42.93786189,-85.38736777,https://echo.epa.gov/detailed-facility-report?fid=MI0040276&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003628,KIMBALL TOWNSHIP,"3,463",,,,,,,,,,,,,,,42.95951492,-82.53273915,https://echo.epa.gov/detailed-facility-report?fid=MI0003628&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0063635,KING NURSING & REHABILITATION COMMUNITY,61,,,,,,,,,,,,1,1,,44.30309665,-84.75313046,https://echo.epa.gov/detailed-facility-report?fid=MI0063635&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040171,KINGS COURT MOBILE HOME PARK,"1,200",,,,,,,,,,,,481,481,,44.72433125,-85.60893312,https://echo.epa.gov/detailed-facility-report?fid=MI0040171&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003640,KINGSFORD,"5,480",10,26,6,281,175,498,"1,262",162,,"1,424",25.9%,"1,030","2,454",,45.80122406,-88.08870427,https://echo.epa.gov/detailed-facility-report?fid=MI0003640&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003650,"KINGSLEY, VILLAGE OF","1,657",2,,214,38,,254,,,,,100.0%,640,640,,44.5859795,-85.53257138,https://echo.epa.gov/detailed-facility-report?fid=MI0003650&sys=SDWIS,100% replaced,100% replaced
MI0006243,KINGSTON APARTMENTS,50,,,,,,,,,,,,1,1,,42.75239922,-83.48399329,https://echo.epa.gov/detailed-facility-report?fid=MI0006243&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003660,"KINGSTON, VILLAGE OF",440,,,,4,,4,,,163,163,2.4%,21,184,,43.41342121,-83.18660343,https://echo.epa.gov/detailed-facility-report?fid=MI0003660&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003630,KINROSS TOWNSHIP,"7,341",,,,,,,,,,,,"1,008","1,008",,46.26682072,-84.4586495,https://echo.epa.gov/detailed-facility-report?fid=MI0003630&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040471,KLINES RESORT,398,,,,,,,,,,,,265,265,,42.04618829,-85.50426485,https://echo.epa.gov/detailed-facility-report?fid=MI0040471&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003666,KNORRWOOD KNOLLS SUBDIVISION,240,,,,,,,,,,,,75,75,,42.75973581,-83.11493137,https://echo.epa.gov/detailed-facility-report?fid=MI0003666&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003667,KOCHVILLE TOWNSHIP,"4,695",,,,,,,,,,,,850,850,,43.49573404,-83.97314698,https://echo.epa.gov/detailed-facility-report?fid=MI0003667&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040181,KYCA COMMUNITY,73,,,,,,,,,,,,,,,41.92663652,-84.5715199,https://echo.epa.gov/detailed-facility-report?fid=MI0040181&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0003670,L'ANSE,"2,300",18,18,,,,36,,,,,100.0%,"1,145","1,145",,46.75395108,-88.44157265,https://echo.epa.gov/detailed-facility-report?fid=MI0003670&sys=SDWIS,100% replaced,100% replaced
MI0003685,L'ARBRE CROCHE CLUB,330,,,,,,,,,104,104,0%,8,112,2021,45.41096825,-84.90707879,https://echo.epa.gov/detailed-facility-report?fid=MI0003685&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040277,LAEMA MOBILE HOME PARK,72,,,,,,,,,,,,31,31,,43.03660307,-85.37962432,https://echo.epa.gov/detailed-facility-report?fid=MI0040277&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003690,LAGUNA VISTA SUBDIVISION,640,,,,,,,,,,,,200,200,,42.56395295,-83.50498084,https://echo.epa.gov/detailed-facility-report?fid=MI0003690&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003691,LAKE ANGELA CONDO APTS #3,24,,,,,,,,,,,,1,1,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0003694,LAKE ANGELA CONDO APTS #4,24,,,,,,,,,,,,1,1,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0003693,LAKE ANGELA CONDO APTS #5,24,,,,,,,,,,,,1,1,,42.48487165,-83.61559057,https://echo.epa.gov/detailed-facility-report?fid=MI0003693&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003696,LAKE ANGELA CONDO APTS #6,24,,,,,,,,,,,,1,1,,42.4847116,-83.61979867,https://echo.epa.gov/detailed-facility-report?fid=MI0003696&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003692,LAKE ARROWHEAD ESTATES,231,,,,,,,,,,,,66,66,,41.94794548,-83.97620432,https://echo.epa.gov/detailed-facility-report?fid=MI0003692&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003695,LAKE BELLA VISTA,"3,584",,,,,,,,,,,,"1,255","1,255",,43.09416317,-85.50928958,https://echo.epa.gov/detailed-facility-report?fid=MI0003695&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003741,LAKE CHARTER TOWNSHIP,"4,177",,,,,,,,,,,,"1,724","1,724",,41.98407913,-86.53971959,https://echo.epa.gov/detailed-facility-report?fid=MI0003741&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003700,"LAKE CITY, CITY OF",836,20,9,8,5,144,186,189,56,,245,43.2%,260,505,,44.33089686,-85.21356923,https://echo.epa.gov/detailed-facility-report?fid=MI0003700&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002925,LAKE DOSTER,"1,287",,,,,,,,,,,,423,423,,42.44900958,-85.55902029,https://echo.epa.gov/detailed-facility-report?fid=MI0002925&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040158,LAKE FENTON MOBILE HOME PARK,220,,,,,,,,,,,,25,25,,42.86420681,-83.720078,https://echo.epa.gov/detailed-facility-report?fid=MI0040158&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040368,LAKE FOREST PARK,185,,,,,,,,74,,74,0%,,74,,43.38218035,-85.77508136,https://echo.epa.gov/detailed-facility-report?fid=MI0040368&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003435,LAKE ISABELLA WATER DIST. #1,327,,,,,,,,,86,86,0%,32,118,2024,43.63549946,-85.00962029,https://echo.epa.gov/detailed-facility-report?fid=MI0003435&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003720,LAKE LINDEN,"1,203",,,,,,,,,435,435,0%,143,578,,47.18769539,-88.41637135,https://echo.epa.gov/detailed-facility-report?fid=MI0003720&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005549,LAKE MICHIGAN BEACH RESORT POTTAWATTAMIE,80,,,,,,,,,,,,2,2,,42.21349586,-86.38403959,https://echo.epa.gov/detailed-facility-report?fid=MI0005549&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040106,LAKE MICHIGAN HEIGHTS,270,,,,,,,,,87,87,0%,26,113,,45.36829124,-85.1263277,https://echo.epa.gov/detailed-facility-report?fid=MI0040106&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003730,LAKE ODESSA,"2,018",,,,,,,,,,,,875,875,,42.7803436,-85.13591564,https://echo.epa.gov/detailed-facility-report?fid=MI0003730&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003740,"LAKE ORION, VILLAGE OF","2,973",25,,,2,,27,33,27,,60,31.0%,"1,340","1,400",,42.78139927,-83.24232543,https://echo.epa.gov/detailed-facility-report?fid=MI0003740&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0002277,LAKE PARK VILLAGE CONDOMINIUMS,900,,,,,,,,,,,,110,110,,42.89170728,-83.69362866,https://echo.epa.gov/detailed-facility-report?fid=MI0002277&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003737,LAKE POINTE CONDOMINIUMS,74,,,,,,,,,,,,6,6,,42.21549004,-86.26758841,https://echo.epa.gov/detailed-facility-report?fid=MI0003737&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040075,LAKECREST MOBILE COURT,52,,,,,,,,,,,,21,21,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0003751,LAKESHORE CONDOMINIUMS,38,,,,,,,,,,,,1,1,,42.07801548,-84.1412156,https://echo.epa.gov/detailed-facility-report?fid=MI0003751&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003145,LAKESHORE EAST CONDOMINIUMS,84,,,,,,,,,,,,42,42,,44.46809702,-84.67819782,https://echo.epa.gov/detailed-facility-report?fid=MI0003145&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040034,LAKESHORE ESTATES MHP,115,,,,,,,,,,,,44,44,,45.26234056,-83.4722713,https://echo.epa.gov/detailed-facility-report?fid=MI0040034&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003753,LAKESHORE HILLTOP APARTMENTS,93,,,,,,,,,,,,11,11,,42.7893018,-83.27738959,https://echo.epa.gov/detailed-facility-report?fid=MI0003753&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040169,LAKESHORE VILLAGE,118,,,,,,,,,,,,47,47,,44.07687127,-84.33687594,https://echo.epa.gov/detailed-facility-report?fid=MI0040169&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0005577,LAKESHORE VILLAGE SUBDIVISION,132,,,,,,,,,,,,51,51,,42.58532947,-83.77098465,https://echo.epa.gov/detailed-facility-report?fid=MI0005577&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001669,LAKESIDE APARTMENTS,30,,,,,,,,,,,,20,20,2021,,,," Inventory completed, no lead lines identified ",No lead lines
MI0003744,LAKESIDE CLUB CONDOMINIUMS,210,,,,,,,,,,,,14,14,,45.40116868,-84.89383894,https://echo.epa.gov/detailed-facility-report?fid=MI0003744&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003752,LAKESIDE DEVELOPMENT,82,,,,,,,,,,,,4,4,,44.11245503,-84.43169917,https://echo.epa.gov/detailed-facility-report?fid=MI0003752&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003742,LAKESIDE ESTATES SUBDIVISION,125,,,,,,,,,,,,52,52,,42.00332498,-85.03408887,https://echo.epa.gov/detailed-facility-report?fid=MI0003742&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040292,LAKESIDE MOBILE HOME COMMUNITY,168,,,,,,,,,,,,40,40,,43.13202387,-85.37074973,https://echo.epa.gov/detailed-facility-report?fid=MI0040292&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003747,LAKETOWN TOWNSHIP,"3,200",,,,,,, ,,,,,,,,42.73630994,-86.14279861,https://echo.epa.gov/detailed-facility-report?fid=MI0003747&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0003750,LAKEVIEW,"1,007",8,3,1,4,3,19,20,88,,108,15.0%,345,453,,43.43834018,-85.27468006,https://echo.epa.gov/detailed-facility-report?fid=MI0003750&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003755,LAKEVIEW APARTMENTS,64,,,,,,,,,,,,8,8,,44.96941477,-84.68299001,https://echo.epa.gov/detailed-facility-report?fid=MI0003755&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0006443,LAKEVIEW APARTMENTS,50,,,,,,,,,,,,1,1,,42.65915523,-83.4456833,https://echo.epa.gov/detailed-facility-report?fid=MI0006443&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0005445,LAKEVIEW CHALET CONDOMINIUMS,50,,,,,,, ,,,,,,,2019,42.66070932,-83.44879203,https://echo.epa.gov/detailed-facility-report?fid=MI0005445&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0040451,LAKEVIEW ESTATES,380,,,,,,,,,,,,137,137,,42.93164364,-84.00136087,https://echo.epa.gov/detailed-facility-report?fid=MI0040451&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040431,LAKEVIEW TRAILER PARK,70,,,,,,,,,,,,27,27,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0003757,LAKEWOOD BEACH COMMUNITY SERVICES CO.,52,,,,,,,,,,,,31,31,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0006935,LAKEWOOD TERRACE ASSOCIATION,36,,,,,,,,,,,,22,22,,44.95874825,-85.2415032,https://echo.epa.gov/detailed-facility-report?fid=MI0006935&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001663,LANDINGS AT CRANES COVE,120,,,,,,,,,,,,110,110,,42.84202,-83.73423368,https://echo.epa.gov/detailed-facility-report?fid=MI0001663&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003760,LANSING BOARD OF WATER & LIGHT,"166,000",,,,,,,,,,,,"57,339","57,339",,42.70960199,-84.55542973,https://echo.epa.gov/detailed-facility-report?fid=MI0003760&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003770,LANSING TOWNSHIP,"5,500",,,,,,,,,,,,"2,244","2,244",,42.7535182,-84.60786034,https://echo.epa.gov/detailed-facility-report?fid=MI0003770&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0002195,LANTERN BAY TREATMENT CENTER,52,,,,,,,,,,,,4,4,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0003780,"LAPEER, CITY OF","8,841",1,1,111,21,4,138,1,,,1,99.3%,"3,558","3,559",2019,43.04988225,-83.32512259,https://echo.epa.gov/detailed-facility-report?fid=MI0003780&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0003794,LARKIN TOWNSHIP,"2,878",,,,,,,,,,,,"1,310","1,310",,43.68813801,-84.20819023,https://echo.epa.gov/detailed-facility-report?fid=MI0003794&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003800,LATHRUP VILLAGE,"4,075",16,5,3,6,2,32,1,,25,26,55.2%,"1,765","1,791",,42.49200741,-83.22722338,https://echo.epa.gov/detailed-facility-report?fid=MI0003800&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0003810,LAURIUM,"1,947",,,,,,,,,474,474,0%,614,"1,088",,47.2513648,-88.43183298,https://echo.epa.gov/detailed-facility-report?fid=MI0003810&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003820,LAWRENCE,"1,045",1,,,1,,2,,,,,100.0%,391,391,2020,42.2141924,-86.05540188,https://echo.epa.gov/detailed-facility-report?fid=MI0003820&sys=SDWIS,100% replaced,100% replaced
MI0003830,LAWTON,"1,900",4,4,4,34,17,63,201,81,192,474,11.7%,51,525,,42.16579432,-85.84365167,https://echo.epa.gov/detailed-facility-report?fid=MI0003830&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040308,LEE VILLA MOBILE HOME PARK,283,,,,,,,,,,,,113,113,,41.96670169,-83.96152141,https://echo.epa.gov/detailed-facility-report?fid=MI0040308&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003829,LEELANAU CO LAW ENFORCEMENT CENTER,75,,,,,,,,,,,,2,2,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0040311,LEFFINGWELL ESTATES,210,,,,,,,,,,,,2,2,,41.84416971,-84.35822993,https://echo.epa.gov/detailed-facility-report?fid=MI0040311&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040279,LEISURE VILLAGE,365,,,,,,,,,,,,259,259,,43.06032627,-85.55309492,https://echo.epa.gov/detailed-facility-report?fid=MI0040279&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003836,LENOX TOWNSHIP,"3,000",,,,,,,,,,,,184,184,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0003837,LEONI TOWNSHIP,"2,408",,,,,,,,,,,,757,757,,42.23245716,-84.33603259,https://echo.epa.gov/detailed-facility-report?fid=MI0003837&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003840,"LESLIE, CITY OF","1,872",11,,21,21,12,65,81,1,,82,44.2%,693,775,2022,42.45046163,-84.43008281,https://echo.epa.gov/detailed-facility-report?fid=MI0003840&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0003850,"LEXINGTON, VILLAGE OF","1,178",,,,,,,,,,,,823,823,,43.26717936,-82.53646913,https://echo.epa.gov/detailed-facility-report?fid=MI0003850&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040227,LILLY BANK LANE,10,,,,,,,,,,,,21,21,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0040001,LINCOLN ESTATES,48,,,,,,,,,,,,21,21,,44.66518386,-83.40606657,https://echo.epa.gov/detailed-facility-report?fid=MI0040001&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0063865,LINCOLN HAVEN NURSING & REHABILITATION,39,,,,,,,,,,,,1,1,,44.84354067,-83.40543819,https://echo.epa.gov/detailed-facility-report?fid=MI0063865&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003868,LINCOLN MANOR,30,,,,,,,,,,,,3,3,,44.68343206,-83.4128058,https://echo.epa.gov/detailed-facility-report?fid=MI0003868&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003870,LINCOLN PARK,"38,144",75,108,79,7,1481,1750,"2,647",,,"2,647",39.8%,"12,684","15,331",,42.24323348,-83.18122206,https://echo.epa.gov/detailed-facility-report?fid=MI0003870&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040586,LINCOLN PINES,390,,,,,,,,,,,,162,162,,43.00830451,-85.70011994,https://echo.epa.gov/detailed-facility-report?fid=MI0040586&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040098,LINDEN MOBILE HOME PARK,92,,,,,,,,,,,,57,57,,41.76295631,-85.95257016,https://echo.epa.gov/detailed-facility-report?fid=MI0040098&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040145,LINDEN PLACE MOBILE HOME PARK,236,,,,,,,,,,,,162,162,,42.96643387,-83.77888213,https://echo.epa.gov/detailed-facility-report?fid=MI0040145&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003890,"LINDEN, CITY OF","4,150",,,,,,,,,,,,"1,310","1,310",,42.81803584,-83.78316317,https://echo.epa.gov/detailed-facility-report?fid=MI0003890&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003910,LINWOOD METROPOLITAN DISTRICT,909,,,,,,,,,,,,383,383,,43.7324694,-83.96337568,https://echo.epa.gov/detailed-facility-report?fid=MI0003910&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003920,LITCHFIELD,"1,310",,,,,,,,,,,,574,574,,42.04073136,-84.75768666,https://echo.epa.gov/detailed-facility-report?fid=MI0003920&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003927,LITTLE TRAVERSE TOWNSHIP,"1,102",,,,,,,,,,,,421,421,,45.42666261,-84.92459794,https://echo.epa.gov/detailed-facility-report?fid=MI0003927&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003929,LIVINGSTON COMMUNITY WATER AUTHORITY,"4,152",,,,,,,,,,,,"1,047","1,047",,42.47886545,-83.78007447,https://echo.epa.gov/detailed-facility-report?fid=MI0003929&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003930,LIVONIA,"96,942",20,20,16,32,214,302,134,31,"29,973","30,138",1.0%,"8,069","38,207",2024,42.39697131,-83.37020576,https://echo.epa.gov/detailed-facility-report?fid=MI0003930&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003940,LOCH ALPINE SANITARY AUTHORITY,"1,506",,,,,,,,,98,98,0%,437,535,2023,42.3385113,-83.82603375,https://echo.epa.gov/detailed-facility-report?fid=MI0003940&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003943,LOCKPORT TOWNSHIP,"1,778",,,,,,,,,,,,277,277,,41.97642767,-85.61996348,https://echo.epa.gov/detailed-facility-report?fid=MI0003943&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040209,LONG LAKE MOBILE HOME ESTATES,68,,,,,,,,,,,,27,27,,43.10706493,-85.12897505,https://echo.epa.gov/detailed-facility-report?fid=MI0040209&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003947,LONG LAKE VILLAGE SUBDIVISION,273,,,,,,,,,,,,95,95,,42.87361313,-83.41276449,https://echo.epa.gov/detailed-facility-report?fid=MI0003947&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003946,LOOKING GLASS TERRACES APTS.,31,,,,,,,,,,,,3,3,,42.89219066,-84.3466914,https://echo.epa.gov/detailed-facility-report?fid=MI0003946&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040151,LOON LAKE MOBILE HOME PARK,90,,,,,,,,,,,,10,10,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0003950,LOWELL,"4,150",3,3,29,32,36,103,11,69,509,589,14.9%,805,"1,394",,42.93685885,-85.35064088,https://echo.epa.gov/detailed-facility-report?fid=MI0003950&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003955,LOWELL TOWNSHIP,"1,958",,,,,,,,,,,,928,928,,42.88531277,-85.37190856,https://echo.epa.gov/detailed-facility-report?fid=MI0003955&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0003960,LUDINGTON,"8,184",95,65,68,49,37,314,1,"1,301","1,556","2,858",9.9%,"1,095","3,953",,43.95553567,-86.43670166,https://echo.epa.gov/detailed-facility-report?fid=MI0003960&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003966,LYNX GOLF VIEW,40,,,,,,,,,,,,6,6,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0003968,LYON TOWNSHIP,"9,390",,,,,,,3,,67,70,0%,"4,598","4,668",,42.4849164,-83.59358297,https://echo.epa.gov/detailed-facility-report?fid=MI0003968&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003967,LYONS,789,,,,,,,,,,,,318,318,,42.98158078,-84.94277249,https://echo.epa.gov/detailed-facility-report?fid=MI0003967&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001692,MACK. CO. HOUSINGCURTIS,50,,,,,,, ,,,,,,,,46.20499418,-85.74888388,https://echo.epa.gov/detailed-facility-report?fid=MI0001692&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0002145,MACK. CO. HOUSINGENGADINE,50,,,,,,, ,,,,,,,,46.1239117,-85.51125721,https://echo.epa.gov/detailed-facility-report?fid=MI0002145&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0003970,MACKINAC ISLAND,583,,,,,1,1,,,8,8,11.1%,106,114,,45.86011547,-84.63188855,https://echo.epa.gov/detailed-facility-report?fid=MI0003970&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003980,"MACKINAW CITY, VILLAGE OF",897,,1,5,5,5,16,31,46,,77,17.2%,487,564,,45.77814983,-84.73207385,https://echo.epa.gov/detailed-facility-report?fid=MI0003980&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003990,MACOMB TOWNSHIP,"90,000",,,,,,,,,,,,"31,034","31,034",,42.66733754,-82.92339132,https://echo.epa.gov/detailed-facility-report?fid=MI0003990&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0004000,MADISON HEIGHTS,"29,694",8,7,7,6,21,49,232,,15,247,16.6%,"11,202","11,449",2025,42.50889271,-83.10372348,https://echo.epa.gov/detailed-facility-report?fid=MI0004000&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004006,MADISON TOWNSHIP,"3,480",,,,,,,,,,,,"1,258","1,258",,41.87480114,-84.04006971,https://echo.epa.gov/detailed-facility-report?fid=MI0004006&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001545,MAIN STREET APARTMENTS,48,,,,,,,,,,,,5,5,,42.7847578,-83.01069517,https://echo.epa.gov/detailed-facility-report?fid=MI0001545&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0062955,MAJESTIC CARE OF FLUSHING,150,,,,,,, ,,,,,,,,,,,Inventory not received or data not complete,Inventory not received or incomplete
MI0005180,MAN NOR FARMS SUBDIVISION,193,,,,,,,,1,42,43,0%,11,54,,41.86966675,-83.9652744,https://echo.epa.gov/detailed-facility-report?fid=MI0005180&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004010,MANCELONA AREA WATER AND SEWER AUTHORITY,"3,900",27,9,8,14,21,79,,334,,334,19.1%,"1,155","1,489",,44.89514997,-85.07020047,https://echo.epa.gov/detailed-facility-report?fid=MI0004010&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006568,MANCELONA AREA WSA  THE CHIEF,40,,,,,,,,,,,,23,23,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0004020,MANCHESTER,"2,150",12,13,20,57,,102,38,19,1,58,63.7%,759,817,2021,42.14936361,-84.03553306,https://echo.epa.gov/detailed-facility-report?fid=MI0004020&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040332,MANISTEE FOREST PINES ESTATES,174,,,,,,,,,,,,75,75,,,,," Inventory completed, no lead lines identified ",No lead lines
