PWSID,Supply Name,Status Explanation,Status Short
MI0000160,"ALPENA, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003525,KALAMAZOO LAKE SEWER & WATER AUTHORITY,100% replaced,100% replaced
MI0003545,KALCHIK ESTATES," Inventory completed, no lead lines identified ",
MI0004380,MILAN," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001810,DEXTER," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040580,KAMP VILLA RV PARK," Inventory completed, no lead lines identified ",
MI0003747,LAKETOWN TOWNSHIP,Inventory not received or data not complete,Inventory not received or incomplete
MI0003570,KAWKAWLIN METRO DIST WATER SUP," Inventory completed, no lead lines identified ",
MI0003565,KAWKAWLIN TOWNSHIP," Inventory completed, no lead lines identified ",
MI0003595,"KEEGO HARBOR, CITY OF"," Inventory completed, no lead lines identified ",
MI0040477,WASHBURN LAKE VILLAGE MHP," Inventory completed, no lead lines identified ",
MI0040264,KENT CITY MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0000815,BOYNE MOUNTAIN RESORT," Inventory completed, no lead lines identified ",
MI0003620,KENTWOOD," Inventory completed, no lead lines identified ",
MI0040166,KEY COURT MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040276,KEY HEIGHTS MOBILE VILLAGE," Inventory completed, no lead lines identified ",
MI0040370,HESS LAKE RV AND MOBILE HOME PARK,Inventory not received or data not complete,Inventory not received or incomplete
MI0063635,KING NURSING & REHABILITATION COMMUNITY," Inventory completed, no lead lines identified ",
MI0040171,KINGS COURT MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0002350,FORD RIVER TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003650,"KINGSLEY, VILLAGE OF",100% replaced,100% replaced
MI0006243,KINGSTON APARTMENTS," Inventory completed, no lead lines identified ",
MI0001440,CLAWSON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003630,KINROSS TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040471,KLINES RESORT," Inventory completed, no lead lines identified ",
MI0003666,KNORRWOOD KNOLLS SUBDIVISION," Inventory completed, no lead lines identified ",
MI0003667,KOCHVILLE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040212,NORTHERN PINES,Inventory not received or data not complete,Inventory not received or incomplete
MI0040277,LA-E-MA MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0003690,LAGUNA VISTA SUBDIVISION," Inventory completed, no lead lines identified ",
MI0003691,LAKE ANGELA CONDO APTS #3," Inventory completed, no lead lines identified ",
MI0003694,LAKE ANGELA CONDO APTS #4," Inventory completed, no lead lines identified ",
MI0003693,LAKE ANGELA CONDO APTS #5," Inventory completed, no lead lines identified ",
MI0003696,LAKE ANGELA CONDO APTS #6," Inventory completed, no lead lines identified ",
MI0003692,LAKE ARROWHEAD ESTATES," Inventory completed, no lead lines identified ",
MI0003695,LAKE BELLA VISTA," Inventory completed, no lead lines identified ",
MI0003741,LAKE CHARTER TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001330,CHARLEVOIX," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002925,LAKE DOSTER," Inventory completed, no lead lines identified ",
MI0040158,LAKE FENTON MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0001290,"CENTER LINE, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005640,REDFORD TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000140,"ALMA, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005549,LAKE MICHIGAN BEACH RESORT POTTAWATTAMIE," Inventory completed, no lead lines identified ",
MI0002530,GALESBURG," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003730,LAKE ODESSA," Inventory completed, no lead lines identified ",
MI0004510,"MOUNT CLEMENS, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002277,LAKE PARK VILLAGE CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0003737,LAKE POINTE CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0040075,LAKECREST MOBILE COURT," Inventory completed, no lead lines identified ",
MI0003751,LAKESHORE CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0003145,LAKESHORE EAST CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0040034,LAKESHORE ESTATES MHP," Inventory completed, no lead lines identified ",
MI0003753,LAKESHORE HILLTOP APARTMENTS," Inventory completed, no lead lines identified ",
MI0040169,LAKESHORE VILLAGE," Inventory completed, no lead lines identified ",
MI0005577,LAKESHORE VILLAGE SUBDIVISION," Inventory completed, no lead lines identified ",
MI0002079,EL RANCHO ALANSON," Inventory completed, no lead lines identified ",
MI0003744,LAKESIDE CLUB CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0003752,LAKESIDE DEVELOPMENT," Inventory completed, no lead lines identified ",
MI0003742,LAKESIDE ESTATES SUBDIVISION," Inventory completed, no lead lines identified ",
MI0040292,LAKESIDE MOBILE HOME COMMUNITY," Inventory completed, no lead lines identified ",
MI0001692,MACK. CO. HOUSING-CURTIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0003130,HESPERIA," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003755,LAKEVIEW APARTMENTS," Inventory completed, no lead lines identified ",
MI0006443,LAKEVIEW APARTMENTS," Inventory completed, no lead lines identified ",
MI0006500,"SUTTONS BAY, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040451,LAKEVIEW ESTATES," Inventory completed, no lead lines identified ",
MI0040431,LAKEVIEW TRAILER PARK," Inventory completed, no lead lines identified ",
MI0003757,LAKEWOOD BEACH COMMUNITY SERVICES CO.," Inventory completed, no lead lines identified ",
MI0006935,LAKEWOOD TERRACE ASSOCIATION," Inventory completed, no lead lines identified ",
MI0001663,LANDINGS AT CRANES COVE," Inventory completed, no lead lines identified ",
MI0003670,L'ANSE,100% replaced,100% replaced
MI0003760,LANSING BOARD OF WATER & LIGHT," Inventory completed, no lead lines identified ",
MI0003770,LANSING TOWNSHIP," Inventory completed, no lead lines identified ",
MI0002195,LANTERN BAY TREATMENT CENTER," Inventory completed, no lead lines identified ",
MI0002145,MACK. CO. HOUSING-ENGADINE,Inventory not received or data not complete,Inventory not received or incomplete
MI0003132,HIDDEN HAMLET ASSOCIATION," Inventory completed, no lead lines identified ",
MI0003794,LARKIN TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001990,"EAST LANSING, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000910,BRONSON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006040,SHERIDAN," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004040,MANISTIQUE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040308,LEE VILLA MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0003829,LEELANAU CO LAW ENFORCEMENT CENTER," Inventory completed, no lead lines identified ",
MI0040311,LEFFINGWELL ESTATES," Inventory completed, no lead lines identified ",
MI0040279,LEISURE VILLAGE," Inventory completed, no lead lines identified ",
MI0003836,LENOX TOWNSHIP," Inventory completed, no lead lines identified ",
MI0004340,MICHIGAN STATE UNIVERSITY," Inventory completed, no lead lines identified ",
MI0062955,MAJESTIC CARE OF FLUSHING,Inventory not received or data not complete,Inventory not received or incomplete
MI0003850,"LEXINGTON, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0040227,LILLY BANK LANE," Inventory completed, no lead lines identified ",
MI0040001,LINCOLN ESTATES," Inventory completed, no lead lines identified ",
MI0063865,LINCOLN HAVEN NURSING & REHABILITATION," Inventory completed, no lead lines identified ",
MI0003868,LINCOLN MANOR," Inventory completed, no lead lines identified ",
MI0003070,HARTFORD," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040586,LINCOLN PINES," Inventory completed, no lead lines identified ",
MI0040098,LINDEN MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040145,LINDEN PLACE MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0003890,"LINDEN, CITY OF"," Inventory completed, no lead lines identified ",
MI0003910,LINWOOD METROPOLITAN DISTRICT," Inventory completed, no lead lines identified ",
MI0003920,LITCHFIELD," Inventory completed, no lead lines identified ",
MI0003927,LITTLE TRAVERSE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0003929,LIVINGSTON COMMUNITY WATER AUTHORITY," Inventory completed, no lead lines identified ",
MI0001860,DOWAGIAC," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002850,GREENVILLE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003943,LOCKPORT TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040209,LONG LAKE MOBILE HOME ESTATES," Inventory completed, no lead lines identified ",
MI0003947,LONG LAKE VILLAGE SUBDIVISION," Inventory completed, no lead lines identified ",
MI0003946,LOOKING GLASS TERRACES APTS.," Inventory completed, no lead lines identified ",
MI0040151,LOON LAKE MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0005810,"ROSCOMMON, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003955,LOWELL TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005300,"PETOSKEY, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003966,LYNX GOLF VIEW," Inventory completed, no lead lines identified ",
MI0004710,NEWAYGO," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003967,LYONS," Inventory completed, no lead lines identified ",
MI0040200,"MASON MOBILE, LLC",Inventory not received or data not complete,Inventory not received or incomplete
MI0040226,MICHIGAN AVENUE ESTATES,Inventory not received or data not complete,Inventory not received or incomplete
MI0005260,PENTWATER," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002900,GROSSE POINTE PARK," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003990,MACOMB TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040656,COUNTRY MANOR," Inventory completed, no lead lines identified ",
MI0004006,MADISON TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001545,MAIN STREET APARTMENTS," Inventory completed, no lead lines identified ",
MI0040241,MY PLACE AT CATTAIL ESTATES,Inventory not received or data not complete,Inventory not received or incomplete
MI0000630,BERKLEY," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005034,ORONOKO TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006568,MANCELONA AREA WSA - THE CHIEF," Inventory completed, no lead lines identified ",
MI0001880,DUNDEE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040332,MANISTEE FOREST PINES ESTATES," Inventory completed, no lead lines identified ",
MI0003942,ISLAND LAKE APARTMENTS," Inventory completed, no lead lines identified ",
MI0001300,"CENTRAL LAKE, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004042,MANITOU LAKE APARTMENTS," Inventory completed, no lead lines identified ",
MI0005660,REPUBLIC TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004053,MAPLE GROVE APARTMENTS," Inventory completed, no lead lines identified ",
MI0040020,MAPLE GROVE ESTATES," Inventory completed, no lead lines identified ",
MI0040361,MAPLE ISLAND ESTATES," Inventory completed, no lead lines identified ",
MI0040123,MAPLE KNOLL," Inventory completed, no lead lines identified ",
MI0040216,MAPLE LEAF VILLAGE," Inventory completed, no lead lines identified ",
MI0004560,MUNISING," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004063,MAPLE RIDGE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0064067,MAPLE VALLEY NURSING HOME," Inventory completed, no lead lines identified ",
MI0040217,MAPLEVIEW ESTATES," Inventory completed, no lead lines identified ",
MI0040219,MAPLEVIEW ESTATES EAST," Inventory completed, no lead lines identified ",
MI0064070,MAPLEVIEW NURSING HOME," Inventory completed, no lead lines identified ",
MI0004419,MAPLEWOOD AND STONE MANORS," Inventory completed, no lead lines identified ",
MI0004069,MAPLEWOOD RIDGE CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0040071,MARBLE LAKE RESORT & MARINA," Inventory completed, no lead lines identified ",
MI0004070,MARCELLUS,100% replaced,100% replaced
MI0004080,MARENISCO TOWNSHIP," Inventory completed, no lead lines identified ",
MI0002250,"FARWELL, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004030,"MANISTEE, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001370,CHELSEA," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040140,MY PLACE AT HERITAGE ESTATES,Inventory not received or data not complete,Inventory not received or incomplete
MI0003615,KENT RIDGE APARTMENTS," Inventory completed, no lead lines identified ",
MI0004025,MARQUETTE COUNTY CORRECTIONS CENTER," Inventory completed, no lead lines identified ",
MI0004140,MARQUETTE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005400,PLYMOUTH," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004155,MARTIN," Inventory completed, no lead lines identified ",
MI0004830,NORTHVILLE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040197,MASON MANOR," Inventory completed, no lead lines identified ",
MI0040240,MY PLACE AT PLEASANT LAKE,Inventory not received or data not complete,Inventory not received or incomplete
MI0006560,TECUMSEH," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004173,MASONVILLE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0004152,MATHIAS TOWNSHIP," Inventory completed, no lead lines identified ",
MI0004177,MATTAWAN," Inventory completed, no lead lines identified ",
MI0002880,"GROSSE POINTE, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004190,"MCBAIN, CITY OF",100% replaced,100% replaced
MI0004740,NILES," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006375,MCTI," Inventory completed, no lead lines identified ",
MI0006377,MCTI FAMILY HOUSING," Inventory completed, no lead lines identified ",
MI0040612,MEADOW LAKE ESTATES MHC," Inventory completed, no lead lines identified ",
MI0040061,MEADOW STREAMS ESTATES," Inventory completed, no lead lines identified ",
MI0000650,BERRIEN SPRINGS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0064213,MEADOWBROOK MED CARE FACILITY," Inventory completed, no lead lines identified ",
MI0040172,MEADOWLANE MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0005950,SAULT STE MARIE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004215,"MELROSE-CHANDLER WATER, LLC"," Inventory completed, no lead lines identified ",
MI0004647,NAZARENE CAMP," Inventory completed, no lead lines identified ",
MI0040470,MEMORY LANE MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0004230,"MEMPHIS, CITY OF"," Inventory completed, no lead lines identified ",
MI0005060,OTSEGO," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001980,BREITUNG TWP.-EAST KINGSFORD," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004260,MERIDIAN TOWNSHIP," Inventory completed, no lead lines identified ",
MI0004276,"MERRILL, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0004280,MERRITT TOWNSHIP," Inventory completed, no lead lines identified ",
MI0000750,BLISSFIELD," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004312,"METAMORA, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0004098,MHOG SEWER & WATER AUTHORITY," Inventory completed, no lead lines identified ",
MI0004320,MICHIANA," Inventory completed, no lead lines identified ",
MI0040091,MY PLACE AT TWIN VALLEY,Inventory not received or data not complete,Inventory not received or incomplete
MI0040154,NORTH DORT MANOR LTD,Inventory not received or data not complete,Inventory not received or incomplete
MI0006230,SPRING LAKE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003090,HASTINGS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004377,MIDLAND CHARTER TOWNSHIP," Inventory completed, no lead lines identified ",
MI0004375,"MIDLAND CO., WATER DIST. NO. 1 OF"," Inventory completed, no lead lines identified ",
MI0001840,OSCEOLA TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005039,ORCHARD PLACE MANOR APARTMENTS,Inventory not received or data not complete,Inventory not received or incomplete
MI0003100,HAZEL PARK," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000430,BARTON HILLS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006631,MILL STREET 1 LDHA," Inventory completed, no lead lines identified ",
MI0004397,"MILLERSBURG, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0004520,"MOUNT MORRIS, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004403,MILLPOINTE OF HARTLAND," Inventory completed, no lead lines identified ",
MI0005440,PONTIAC," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004410,"MINDEN CITY, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0062658,MISSION POINT HEALTHCARE," Inventory completed, no lead lines identified ",
MI0004428,MISTY COVE SENIOR APARTMENTS," Inventory completed, no lead lines identified ",
MI0040571,MISTY MEADOWS MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040606,MITCHELL BROTHERS MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0004440,MONITOR TOWNSHIP," Inventory completed, no lead lines identified ",
MI0000605,BENTON CHARTER TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004455,MONROE SOUTH COUNTY," Inventory completed, no lead lines identified ",
MI0006930,WATERVLIET," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005050,"OTISVILLE, VILLAGE OF",Inventory not received or data not complete,Inventory not received or incomplete
MI0004480,"MONTROSE, CITY OF",100% replaced,100% replaced
MI0005136,OXFORD VILLAGE CONDOMINIUMS,Inventory not received or data not complete,Inventory not received or incomplete
MI0005620,READING," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040643,MORRICE MEADOWS," Inventory completed, no lead lines identified ",
MI0040247,MORROW CROSSING MHC," Inventory completed, no lead lines identified ",
MI0004490,MORENCI," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003470,JACKSON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005690,RIVER ROUGE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001970,"EAST JORDAN, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006320,"ST. LOUIS, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004561,MUNISING INDUSTRIAL PARK," Inventory completed, no lead lines identified ",
MI0004577,MUSK CO NORTHSIDE WATER SYSTEM," Inventory completed, no lead lines identified ",
MI0000450,BATTLE CREEK - VERONA SYSTEM," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000610,BENZONIA VILLAGE OF," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003060,HART," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002943,HALE HOMESTEAD APARTMENTS,Inventory not received or data not complete,Inventory not received or incomplete
MI0003857,SERENE GARDENS OF DEWITT,Inventory not received or data not complete,Inventory not received or incomplete
MI0040027,SWAN LAKE MOBILE ESTATES,Inventory not received or data not complete,Inventory not received or incomplete
MI0040162,"WESTHAVEN MOBILE HOME PARK, LLC",Inventory not received or data not complete,Inventory not received or incomplete
MI0004595,MYSTIC RIDGE L.L.C.," Inventory completed, no lead lines identified ",
MI0004596,MYSTIC VIEW APARTMENTS," Inventory completed, no lead lines identified ",
MI0004600,NAHMA TOWNSHIP," Inventory completed, no lead lines identified ",
MI0004605,NAPOLEON TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005970,SCHOOLCRAFT," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003960,LUDINGTON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003830,LAWTON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004655,NEGAUNEE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040202,WILLOW VILLAGE,Inventory not received or data not complete,Inventory not received or incomplete
MI0040637,NESEN'S COUNTRYSIDE ACRES," Inventory completed, no lead lines identified ",
MI0007260,YPSILANTI COMMUNITY UTILITY AUTHORITY," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004680,NEW BUFFALO," Inventory completed, no lead lines identified ",
MI0002190,"EVART, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004690,"NEW HAVEN, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0003400,IRON MOUNTAIN," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003870,LINCOLN PARK," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004730,NEWBERRY CORRECTIONAL FACILITY," Inventory completed, no lead lines identified ",
MI0005280,"PERRY, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001800,DETROIT CITY OF," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004750,NILES TOWNSHIP," Inventory completed, no lead lines identified ",
MI0004753,NINE MILE POINTE," Inventory completed, no lead lines identified ",
MI0040616,NORTH BAY HARBOR CLUB," Inventory completed, no lead lines identified ",
MI0002510,GAASTRA," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000280,"AU GRES, CITY OF",Inventory not received or data not complete,Inventory not received or incomplete
MI0001730,DEARBORN," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000570,"BELLAIRE, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040432,NORTH SHORE TRAILER PARK," Inventory completed, no lead lines identified ",
MI0060238,NORTH WOODS NURSING CENTER," Inventory completed, no lead lines identified ",
MI0040039,NORTHERN COUNTRY ESTATES," Inventory completed, no lead lines identified ",
MI0001353,CHATEAUX DU LAC CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0040594,NORTHFIELD ESTATES," Inventory completed, no lead lines identified ",
MI0004820,NORTHPORT COTTAGE OWNERS," Inventory completed, no lead lines identified ",
MI0004000,MADISON HEIGHTS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003950,LOWELL," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040657,NORTHVILLE CROSSING," Inventory completed, no lead lines identified ",
MI0004845,NORTHVILLE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0000501,BEACH HOUSE APARTMENTS,Inventory not received or data not complete,Inventory not received or incomplete
MI0040453,NORTHWOODS COMMUNITY," Inventory completed, no lead lines identified ",
MI0003190,HOLLAND BOARD OF PUBLIC WORKS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004780,NORTH MUSKEGON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040414,NOTTINGHAM FOREST MHP," Inventory completed, no lead lines identified ",
MI0003490,JONESVILLE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040655,NP CREEK VALLEY NORTH," Inventory completed, no lead lines identified ",
MI0040079,NP CREEK VALLEY SOUTH," Inventory completed, no lead lines identified ",
MI0004873,OAK HAVEN," Inventory completed, no lead lines identified ",
MI0040391,OAK HILL ESTATES MHC," Inventory completed, no lead lines identified ",
MI0004876,OAK LANE APARTMENTS," Inventory completed, no lead lines identified ",
MI0004874,OAK LEAF MANOR," Inventory completed, no lead lines identified ",
MI0040183,CREEKSIDE MHC,Inventory not received or data not complete,Inventory not received or incomplete
MI0001002,OAK POINTE," Inventory completed, no lead lines identified ",
MI0040266,OAKFIELD MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0005573,OAKLAND HUNT SUBDIVISION," Inventory completed, no lead lines identified ",
MI0040678,OAKS OF ROCKFORD," Inventory completed, no lead lines identified ",
MI0040222,OAKVIEW MOBILE ESTATES," Inventory completed, no lead lines identified ",
MI0004920,OCEANA ACRES," Inventory completed, no lead lines identified ",
MI0004935,OGEMAW TOWNSHIP," Inventory completed, no lead lines identified ",
MI0006940,WAYLAND," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040156,OLD ORCHARD ESTATES," Inventory completed, no lead lines identified ",
MI0006440,STURGIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002520,"GAGETOWN, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005005,"OMER, CITY OF"," Inventory completed, no lead lines identified ",
MI0006101,SOUTH HAVEN AREA WATER & SEWER AUTHORITY," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000180,ALPHA," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040067,ONTARIO PLACE," Inventory completed, no lead lines identified ",
MI0005030,ONTONAGON," Inventory completed, no lead lines identified ",
MI0040647,ORCHARD COVE," Inventory completed, no lead lines identified ",
MI0040503,ORCHARD GROVE," Inventory completed, no lead lines identified ",
MI0005031,ORCHARD LAKE VILLAGE," Inventory completed, no lead lines identified ",
MI0040116,DUTCH HILLS,Inventory not received or data not complete,Inventory not received or incomplete
MI0040399,ORION LAKE ESTATES MHC," Inventory completed, no lead lines identified ",
MI0001130,"CARO, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004150,MARSHALL," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005037,OSBORN LAKE ESTATES," Inventory completed, no lead lines identified ",
MI0003980,"MACKINAW CITY, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000040,ADRIAN," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040454,EVERGREEN PLEASANT VALLEY TRAILER PARK,Inventory not received or data not complete,Inventory not received or incomplete
MI0006950,WAYNE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040405,GREENLAWN MOBILE HOME COURT,Inventory not received or data not complete,Inventory not received or incomplete
MI0002640,GLADSTONE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005110,"OWENDALE, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0003430,IRONWOOD TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005138,OXFORD TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040138,GUNTHER MOBILE HOME COURT INC,Inventory not received or data not complete,Inventory not received or incomplete
MI0003750,LAKEVIEW," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005150,OYSTER POINTE CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0040310,PARK VIEW COURT," Inventory completed, no lead lines identified ",
MI0040340,PARKS PLACE ESTATES," Inventory completed, no lead lines identified ",
MI0005590,QUINNESEC," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003317,HURON REGIONAL WATER AUTHORITY,No service lines; wholesale only,No service lines; wholesale only
MI0005205,PARMA TOWNSHIP-AMBERTON VILL.," Inventory completed, no lead lines identified ",
MI0005204,"PARMA, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0001900,"DURAND, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005209,PAW PAW APTS - WEST MAPLE LAKE," Inventory completed, no lead lines identified ",
MI0040062,PAW PAW LAKE MH PARK," Inventory completed, no lead lines identified ",
